Designator,Mid X,Mid Y,Rotation,Layer
C1,67.4,-90.43,90.0,top
C10,59.78,-90.475,90.0,top
C11,53.7,-93.105,90.0,top
C12,41.515,-87.63,180.0,top
C13,41.645,-85.8,0.0,top
C14,51.18,-114.635,90.0,top
C15,29.22,-98.26,90.0,top
C16,53.595,-103.77,0.0,top
C17,53.585,-102.21,0.0,top
C18,56.69,-103.215,270.0,top
C19,51.23,-107.205,270.0,top
C2,51.21,-110.315,270.0,top
C20,51.23,-104.13,90.0,top
C21,44.515,-87.4,0.0,top
C22,68.295,-87.11,0.0,top
C23,67.825,-85.62,0.0,top
C24,44.625,-85.87,0.0,top
C25,44.1,-94.56,270.0,top
C26,52.4,-98.665,90.0,top
C3,43.65,-91.255,270.0,top
C4,70.46,-89.345,270.0,top
C5,68.95,-89.355,270.0,top
C6,44.525,-88.94,180.0,top
C7,65.56,-87.165,90.0,top
C8,58.9,-87.195,90.0,top
C9,54.565,-95.7,180.0,top
D1,33.5,-99.02,0.0,top
J1,29.12,-90.26,270.0,top
J2,32.63,-107.33,270.0,top
J3,77.875,-106.615,0.0,top
J4,44.57,-106.51,0.0,top
J5,75.17,-85.32,0.0,top
J6,35.35,-113.82,90.0,top
J7,54.955,-114.18,270.0,top
J8,54.56,-83.09,270.0,top
L1,48.78,-93.63,180.0,top
R1,41.33,-89.215,0.0,top
R10,80.53,-95.985,270.0,top
R11,53.96,-98.025,270.0,top
R12,58.33,-98.025,270.0,top
R13,59.36,-103.775,270.0,top
R14,59.055,-100.29,180.0,top
R2,40.54,-93.345,270.0,top
R3,55.135,-85.67,180.0,top
R4,61.155,-85.92,0.0,top
R5,53.18,-88.545,90.0,top
R6,78.98,-95.985,270.0,top
R7,77.45,-95.985,270.0,top
R8,75.92,-95.985,270.0,top
R9,82.07,-95.985,270.0,top
SW1,67.55,-108.18,270.0,top
SW2,62.5,-108.18,270.0,top
U1,63.53,-95.76,90.0,top
U2,71.76,-94.2,0.0,top
U3,57.25,-93.13,0.0,top
U4,48.77,-88.2,90.0,top
U5,56.1375,-108.685,270.0,top
U6,56.145,-98.065,90.0,top
U7,55.985,-88.65,0.0,top
Y1,62.67,-88.43,0.0,top
